name,dob,subject,total,score,percentage
Ram,2002-11-03,Math,100,78.0,78.0
Ram,2002-11-03,English,50,34.0,68.0
Aashu,2003-10-03,English,50,27.0,54.0
Ram,2002-11-03,Nepali,100,67.0,67.0
Aashu,2003-10-03,Nepali,100,75.0,75.0
Sita,2001-08-23,Nepali,100,82.0,82.0
Sita,2001-08-23,English,50,45.0,90.0
Sita,2001-08-23,Social,75,56.0,74.66666666666667
Shyam,1997-04-02,English,50,34.0,68.0
Gita,1999-09-02,Social,100,89.75,89.75
Gita,1999-09-02,Math,100,84.0,84.0
Gita,1999-09-02,English,50,45.0,90.0
Gita,1999-09-02,Nepali,100,45.0,45.0
Gita,1999-09-02,Science,75,50.0,66.67
John,1997-07-02,Science,75,60.0,80.0
